iter	Passed	Remaining
142	226	1355
143	226	1347
144	227	1339
145	227	1331
146	228	1323
147	228	1315
148	229	1308
149	229	1300
150	229	1293
151	230	1286
152	230	1278
153	231	1271
154	231	1263
155	232	1257
156	232	1250
157	233	1243
158	233	1236
159	234	1230
160	234	1223
161	235	1217
162	235	1211
163	236	1205
164	236	1198
165	237	1192
166	237	1186
167	238	1180
168	238	1175
169	239	1169
170	239	1163
171	240	1156
172	240	1151
173	241	1145
174	241	1140
175	242	1135
176	242	1129
177	243	1123
178	243	1118
179	244	1113
180	244	1107
181	245	1102
182	245	1096
183	246	1091
184	246	1086
185	247	1081
186	247	1076
187	248	1072
188	248	1066
189	249	1061
190	249	1056
191	249	1052
192	250	1046
193	250	1042
194	251	1037
195	251	1032
196	252	1027
197	252	1022
198	252	1018
199	253	1013
200	253	1008
201	254	1004
202	254	999
203	255	995
204	255	990
205	255	986
206	256	982
207	256	978
208	257	973
209	257	969
210	258	965
211	258	961
212	259	956
213	259	952
214	260	949
215	260	945
216	261	942
217	261	938
218	262	934
219	262	930
220	263	927
221	263	923
222	263	919
223	264	915
224	264	912
225	265	908
226	265	904
227	266	901
228	266	897
229	267	894
230	267	890
231	268	887
232	268	883
233	268	880
234	269	876
235	269	873
236	270	869
237	270	866
238	270	862
239	271	859
240	271	856
241	272	852
242	272	849
243	273	846
244	273	843
245	274	840
246	274	837
247	275	834
248	275	831
249	275	827
250	276	824
251	276	821
252	277	818
253	277	815
254	278	812
255	278	809
256	279	806
257	279	803
258	279	800
259	280	797
260	280	795
261	281	792
262	281	789
263	282	786
264	282	783
265	282	780
266	283	777
267	283	774
268	284	772
269	284	769
270	284	766
271	285	764
272	285	761
273	286	758
274	286	756
275	287	753
276	287	750
277	288	748
278	288	745
279	289	743
280	289	740
281	289	738
282	290	735
283	290	733
284	291	730
285	291	728
286	292	726
287	292	723
288	293	721
289	293	718
290	294	716
291	294	713
292	294	711
293	295	709
294	295	706
295	296	704
296	296	701
297	296	699
298	297	697
299	297	695
300	298	692
301	298	690
302	299	688
303	299	686
304	300	683
305	300	681
306	301	679
307	301	677
308	301	675
309	302	672
310	302	670
311	303	668
312	303	666
313	304	664
314	304	662
315	305	660
316	305	658
317	305	656
318	306	654
319	306	652
320	307	650
321	307	648
322	308	646
323	308	644
324	309	642
325	309	640
326	309	637
327	310	635
328	310	634
329	311	632
330	311	630
331	312	628
332	312	626
333	313	624
334	313	622
335	313	620
336	314	618
337	314	616
338	315	614
339	315	612
340	316	610
341	316	608
342	316	606
343	317	605
344	317	603
345	318	601
346	318	599
347	319	597
348	319	596
349	319	594
350	320	592
351	320	590
352	321	588
353	321	586
354	322	585
355	322	583
356	322	581
357	323	579
358	323	578
359	324	576
360	324	574
361	325	573
362	325	571
363	326	569
364	326	568
365	326	566
366	327	564
367	327	563
368	328	561
369	328	559
370	329	557
371	329	556
372	329	554
373	330	553
374	330	551
375	331	549
376	331	548
377	332	546
378	332	545
379	333	543
380	333	542
381	334	540
382	334	539
383	335	537
384	335	536
385	336	534
386	336	533
387	337	532
388	337	530
389	338	529
390	338	527
391	339	525
392	339	524
393	339	522
394	340	521
395	340	519
396	341	518
397	341	516
398	342	515
399	342	513
400	343	512
401	343	511
402	343	509
403	344	508
404	344	506
405	345	505
406	345	503
407	346	502
408	346	501
409	347	499
410	347	498
411	348	496
412	348	495
413	349	494
414	349	493
415	350	491
416	350	490
417	351	488
418	351	487
419	351	486
420	352	484
421	352	483
422	353	482
423	353	480
424	354	479
425	354	477
426	355	476
427	355	475
428	356	474
429	356	472
430	357	471
431	357	470
432	357	468
433	358	467
434	358	466
435	359	464
436	359	463
437	360	462
438	360	461
439	361	459
440	361	458
441	362	457
442	362	456
443	363	454
444	363	453
445	364	452
446	364	451
447	365	450
448	365	448
449	366	447
450	366	446
451	367	445
452	367	443
453	368	442
454	368	441
455	369	440
456	369	439
457	370	437
458	370	436
459	370	435
460	371	434
461	371	433
462	372	431
463	372	430
464	373	429
465	373	428
466	374	427
467	374	426
468	375	425
469	375	423
470	376	422
471	377	421
472	377	420
473	377	419
474	378	418
475	378	417
476	379	415
477	379	414
478	380	413
479	380	412
480	381	411
481	381	410
482	382	409
483	382	408
484	383	407
485	383	405
486	384	404
487	384	403
488	385	402
489	385	401
490	386	400
491	386	399
492	387	398
493	388	397
494	388	396
495	389	395
496	389	394
